ID,StreetNumber,StreetName,AdditionalLocationInformation,Category,BuildingNameSpecifics,EvaluationGroup,MunicipalDesignationM,ProvincialDesignationP,HeritageRevitalizationAgreementH,InteriorDesignationI,LandscapeDesignationL,HeritageConservationAreaCA,HeritageConservationCovenantHC,FederalDesignationF,Status,DateofLastUpdate,LocalArea,Geom,geo_point_2d
1523,2652,TEMPLETON DR,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kensington-Cedar Cottage,"{""coordinates"": [-123.05980310903819, 49.260525404989195], ""type"": ""Point""}","49.260525404989195, -123.05980310903819"
1524,242,TERMINAL AV,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Strathcona,"{""coordinates"": [-123.09915763538216, 49.272192502812615], ""type"": ""Point""}","49.272192502812615, -123.09915763538216"
1527,1232,THE CRESCENT,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,Yes,No,No,Active,2020-09-18T10:18:45-07:00,Shaughnessy,"{""coordinates"": [-123.13334548725967, 49.25511700720541], ""type"": ""Point""}","49.25511700720541, -123.13334548725967"
1530,1388,THE CRESCENT,None,HERITAGE BUILDINGS,The Hollies,A,No,No,No,No,No,Yes,No,No,Active,2020-09-18T10:18:45-07:00,Shaughnessy,"{""coordinates"": [-123.13582735634127, 49.254501215002996], ""type"": ""Point""}","49.254501215002996, -123.13582735634127"
1532,1398,THE CRESCENT,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,Yes,No,No,Active,2020-09-18T10:18:45-07:00,Shaughnessy,"{""coordinates"": [-123.13656864553178, 49.25482275506079], ""type"": ""Point""}","49.25482275506079, -123.13656864553178"
1542,1107,THURLOW ST,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,West End,"{""coordinates"": [-123.12999189103613, 49.28143785488273], ""type"": ""Point""}","49.28143785488273, -123.12999189103613"
1543,1113,THURLOW ST,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,West End,"{""coordinates"": [-123.13008820770855, 49.281373893309855], ""type"": ""Point""}","49.281373893309855, -123.13008820770855"
1567,1968,TURNER ST,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Grandview-Woodland,"{""coordinates"": [-123.06415902832448, 49.27888841754017], ""type"": ""Point""}","49.27888841754017, -123.06415902832448"
1573,446,UNION ST,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Strathcona,"{""coordinates"": [-123.09442187384208, 49.27730604518694], ""type"": ""Point""}","49.27730604518694, -123.09442187384208"
1574,511,UNION ST,None,HERITAGE BUILDINGS,Morton House,B,Yes,No,Yes,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Strathcona,"{""coordinates"": [-123.09317996851706, 49.2778058254829], ""type"": ""Point""}","49.2778058254829, -123.09317996851706"
1577,538,UNION ST,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Strathcona,"{""coordinates"": [-123.09268196339652, 49.2772736391717], ""type"": ""Point""}","49.2772736391717, -123.09268196339652"
1582,662,UNION ST,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Strathcona,"{""coordinates"": [-123.09015108549222, 49.277237240130574], ""type"": ""Point""}","49.277237240130574, -123.09015108549222"
1600,1618,VICTORIA DR,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Grandview-Woodland,"{""coordinates"": [-123.06546780598758, 49.27008246794824], ""type"": ""Point""}","49.27008246794824, -123.06546780598758"
